date,store,item,sales,year,month,day,day_of_week,is_weekend
2013-01-01,1,1,13,2013,1,1,1,0
2013-01-02,1,1,11,2013,1,2,2,0
2013-01-03,1,1,14,2013,1,3,3,0
2013-01-04,1,1,13,2013,1,4,4,0
2013-01-05,1,1,10,2013,1,5,5,1
2013-01-06,1,1,12,2013,1,6,6,1
2013-01-07,1,1,10,2013,1,7,0,0
2013-01-08,1,1,9,2013,1,8,1,0
2013-01-09,1,1,12,2013,1,9,2,0
2013-01-10,1,1,9,2013,1,10,3,0
2013-01-11,1,1,9,2013,1,11,4,0
2013-01-12,1,1,7,2013,1,12,5,1
2013-01-13,1,1,10,2013,1,13,6,1
2013-01-14,1,1,12,2013,1,14,0,0
2013-01-15,1,1,5,2013,1,15,1,0
2013-01-16,1,1,7,2013,1,16,2,0
2013-01-17,1,1,16,2013,1,17,3,0
2013-01-18,1,1,7,2013,1,18,4,0
2013-01-19,1,1,18,2013,1,19,5,1
2013-01-20,1,1,15,2013,1,20,6,1
2013-01-21,1,1,8,2013,1,21,0,0
2013-01-22,1,1,7,2013,1,22,1,0
2013-01-23,1,1,9,2013,1,23,2,0
2013-01-24,1,1,8,2013,1,24,3,0
2013-01-25,1,1,14,2013,1,25,4,0
2013-01-26,1,1,12,2013,1,26,5,1
2013-01-27,1,1,12,2013,1,27,6,1
2013-01-28,1,1,11,2013,1,28,0,0
2013-01-29,1,1,6,2013,1,29,1,0
2013-01-30,1,1,9,2013,1,30,2,0
2013-01-31,1,1,13,2013,1,31,3,0
2013-02-01,1,1,11,2013,2,1,4,0
2013-02-02,1,1,21,2013,2,2,5,1
2013-02-03,1,1,15,2013,2,3,6,1
2013-02-04,1,1,14,2013,2,4,0,0
2013-02-05,1,1,9,2013,2,5,1,0
2013-02-06,1,1,10,2013,2,6,2,0
2013-02-07,1,1,13,2013,2,7,3,0
2013-02-08,1,1,11,2013,2,8,4,0
2013-02-09,1,1,14,2013,2,9,5,1
2013-02-10,1,1,11,2013,2,10,6,1
2013-02-11,1,1,16,2013,2,11,0,0
2013-02-12,1,1,11,2013,2,12,1,0
2013-02-13,1,1,14,2013,2,13,2,0
2013-02-14,1,1,10,2013,2,14,3,0
2013-02-15,1,1,11,2013,2,15,4,0
2013-02-16,1,1,7,2013,2,16,5,1
2013-02-17,1,1,11,2013,2,17,6,1
2013-02-18,1,1,10,2013,2,18,0,0
2013-02-19,1,1,10,2013,2,19,1,0
2013-02-20,1,1,7,2013,2,20,2,0
2013-02-21,1,1,13,2013,2,21,3,0
2013-02-22,1,1,12,2013,2,22,4,0
2013-02-23,1,1,15,2013,2,23,5,1
2013-02-24,1,1,11,2013,2,24,6,1
2013-02-25,1,1,7,2013,2,25,0,0
2013-02-26,1,1,9,2013,2,26,1,0
